filename_15mk,filename_100mk,channel_id,vac_peak_V,frequency_hz,current_ratio_mag,current_ratio_phase_deg,current_ratio_real,current_ratio_imag,Ites_ac_15mk_real,Ites_ac_15mk_imag,Ites_ac_100mk_real,Ites_ac_100mk_imag
data_20250429_121125_15mK_vbias0v0_vac_0v010.npz,data_20250429_124115_100mK_vbias0v0_vac_0v010.npz,11,5.000000e-03,1.000000e+05,,,,,-9.163804e-11,-3.588130e-10,4.250897e-10,3.107292e-11
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.000000e+02,3.338948e+01,-8.798590e+00,3.299656e+01,-5.107306e+00,5.077812e-07,-9.190241e-07,1.923902e-08,-2.487425e-08
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,2.000000e+02,2.537852e+01,-2.629616e+01,2.275225e+01,-1.124297e+01,-1.972457e-07,1.799762e-07,-1.010955e-08,2.914650e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,3.000000e+02,1.915976e+01,-5.501355e+01,1.098588e+01,-1.569736e+01,1.738412e-07,-1.074424e-07,9.796769e-09,4.218234e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,4.000000e+02,1.555947e+01,-8.601316e+01,1.081808e+00,-1.552182e+01,-1.475923e-07,7.070953e-08,-5.192986e-09,-9.146768e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,5.000000e+02,1.281802e+01,-1.204973e+02,-6.505117e+00,-1.104469e+01,1.251283e-07,-4.937767e-08,-1.634880e-09,1.036636e-08
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,7.000000e+02,9.507249e+00,1.685438e+02,-9.317834e+00,1.888320e+00,9.478713e-08,-2.890993e-08,-1.037532e-08,1.000019e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.000000e+03,6.821359e+00,5.874235e+01,3.539518e+00,5.831188e+00,-6.876772e-08,1.691527e-08,-3.111230e-09,9.904580e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.300000e+03,4.676808e+00,-5.331034e+01,2.794301e+00,-3.750255e+00,4.731527e-08,-1.015123e-08,7.785235e-09,6.815798e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.700000e+03,3.351472e+00,1.569579e+02,-3.084082e+00,1.311792e+00,3.360199e-08,-6.517217e-09,-9.987260e-09,-2.134829e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,2.300000e+03,3.081783e+00,-7.086158e+01,1.010367e+00,-2.911451e+00,3.013275e-08,-6.485764e-09,5.193862e-09,8.547298e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,3.100000e+03,,,,,2.240430e-08,-5.320383e-09,8.357201e-09,3.260534e-11
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,4.200000e+03,,,,,-1.641595e-08,4.861054e-09,-4.360826e-09,-6.013617e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,5.600000e+03,,,,,-1.193288e-08,4.416733e-09,6.347247e-09,5.147673e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,7.400000e+03,,,,,-8.757448e-09,4.320463e-09,7.167420e-09,-9.306980e-10
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.000000e+04,,,,,-5.996014e-09,4.121626e-09,-2.885921e-09,-5.293550e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.330000e+04,,,,,3.799074e-09,-3.801837e-09,-4.260573e-09,-2.386145e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.770000e+04,,,,,2.116676e-09,-3.532231e-09,2.949197e-09,2.596296e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,2.370000e+04,,,,,5.875152e-10,-3.030974e-09,-7.451382e-10,2.903486e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,3.160000e+04,,,,,5.839570e-10,2.289990e-09,2.000387e-09,-1.184634e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,4.210000e+04,,,,,-1.307780e-09,-1.203779e-09,4.817316e-10,1.789510e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,5.620000e+04,,,,,1.396735e-09,-6.563529e-11,4.509478e-10,1.365935e-09
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,7.490000e+04,,,,,-5.293247e-10,9.074495e-10,9.725093e-10,-5.786898e-10
data_20250429_121004_15mK_vbias0v0_vac_0v020.npz,data_20250429_124222_100mK_vbias0v0_vac_0v020.npz,11,1.000000e-02,1.000000e+05,,,,,-5.769953e-10,-5.747657e-10,1.856446e-10,8.319721e-10
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.000000e+02,3.314739e+01,-6.866446e+01,1.205998e+01,-3.087566e+01,-5.164388e-07,2.009808e-06,-6.214556e-08,7.547548e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,2.000000e+02,2.532046e+01,-1.473944e+02,-2.132996e+01,-1.364399e+01,-1.678569e-07,5.003684e-07,-5.063971e-09,-2.021924e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,3.000000e+02,1.931351e+01,1.253032e+02,-1.116135e+01,1.576185e+01,-1.016067e-07,3.919424e-07,1.960208e-08,-7.434344e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,4.000000e+02,1.551771e+01,3.509119e+01,1.269719e+01,8.920816e+00,-3.606263e-08,3.212094e-07,9.998178e-09,1.827314e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,5.000000e+02,1.271041e+01,-5.917467e+01,6.513099e+00,-1.091485e+01,1.867097e-08,2.657064e-07,-1.719879e-08,1.197345e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,7.000000e+02,9.388946e+00,1.103378e+02,-3.263170e+00,8.803637e+00,9.314560e-08,1.723009e-07,1.375942e-08,-1.568044e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.000000e+03,6.733399e+00,-1.791445e+02,-6.732649e+00,-1.005307e-01,1.296754e-07,5.041167e-08,-1.936817e-08,-7.198441e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.300000e+03,5.276590e+00,-1.103959e+02,-1.838921e+00,-4.945784e+00,1.007571e-07,-3.877058e-08,2.322533e-10,2.045868e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.700000e+03,4.089498e+00,-1.402688e+02,-3.145035e+00,-2.613953e+00,1.626702e-08,-8.120991e-08,9.633975e-09,1.781448e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,2.300000e+03,3.111276e+00,-5.455634e+00,3.097182e+00,-2.958044e-01,-5.974330e-08,-1.455708e-08,-1.867036e-08,-6.483266e-09
